customer_id,name,email,phone,city,state,country,signup_date,status,segment,annual_income,credit_score
1,Customer_1,customer_1@company.com,555-6128,Phoenix,NY,USA,2025-03-22,active,standard,53180,669
2,Customer_2,customer_2@company.com,555-3350,Phoenix,IL,USA,2025-07-15,active,premium,56911,562
3,Customer_3,customer_3@company.com,555-7614,Houston,CA,USA,2024-09-05,inactive,standard,73303,666
4,Customer_4,customer_4@company.com,555-7400,Los Angeles,NY,USA,2024-09-27,inactive,standard,59950,746
5,Customer_5,customer_5@company.com,555-3791,Los Angeles,NY,USA,2025-04-07,active,standard,52151,710
6,Customer_6,customer_6@company.com,555-6126,New York,TX,USA,2025-07-07,active,premium,68858,774
7,Customer_7,customer_7@company.com,555-6534,Los Angeles,CA,USA,2025-07-14,active,standard,40651,707
8,Customer_8,customer_8@company.com,555-1262,New York,CA,USA,2024-10-03,active,standard,45604,682
9,Customer_9,customer_9@company.com,555-1654,New York,NY,USA,2024-12-12,inactive,standard,42824,631
10,Customer_10,customer_10@company.com,555-9254,Houston,AZ,USA,2024-08-24,active,standard,56819,677
11,Customer_11,customer_11@company.com,555-2841,New York,AZ,USA,2024-10-11,active,premium,64222,918
12,Customer_12,customer_12@company.com,555-1904,Phoenix,CA,USA,2025-06-28,active,standard,17099,568
13,Customer_13,customer_13@company.com,555-6902,Los Angeles,NY,USA,2024-10-18,active,standard,43737,553
14,Customer_14,customer_14@company.com,555-1575,Los Angeles,NY,USA,2025-06-02,active,standard,60340,734
15,Customer_15,customer_15@company.com,555-7702,Houston,CA,USA,2024-10-03,active,premium,50953,737
16,Customer_16,customer_16@company.com,555-4276,Chicago,AZ,USA,2025-01-27,active,premium,32903,631
17,Customer_17,customer_17@company.com,555-5238,Phoenix,AZ,USA,2025-02-05,active,standard,58733,759
18,Customer_18,customer_18@company.com,555-6559,Los Angeles,TX,USA,2025-01-05,inactive,standard,38299,754
19,Customer_19,customer_19@company.com,555-6090,Houston,IL,USA,2024-10-04,inactive,standard,34165,679
20,Customer_20,customer_20@company.com,555-7330,Los Angeles,NY,USA,2024-08-29,active,standard,39191,758
21,Customer_21,customer_21@company.com,555-1735,Houston,CA,USA,2025-01-25,active,standard,53291,825
22,Customer_22,customer_22@company.com,555-7591,Chicago,TX,USA,2024-09-17,inactive,standard,51930,702
23,Customer_23,customer_23@company.com,555-4322,Los Angeles,CA,USA,2025-07-25,inactive,standard,64654,687
24,Customer_24,customer_24@company.com,555-4832,Los Angeles,NY,USA,2024-12-10,inactive,standard,32919,686
25,Customer_25,customer_25@company.com,555-3669,Phoenix,IL,USA,2024-12-05,active,standard,52614,725
26,Customer_26,customer_26@company.com,555-7632,Chicago,AZ,USA,2025-06-30,inactive,standard,48348,674
27,Customer_27,customer_27@company.com,555-6485,Phoenix,NY,USA,2025-01-25,active,standard,53239,594
